"","share","group","subject","period","quantity"
"567",0.1,4,19,27,8.2
"568",0.1,4,19,28,8.3
"569",0.1,4,19,29,8.3
"570",0.1,4,19,30,8.3
"571",0.1,4,20,1,10
"572",0.1,4,20,2,8.3
"573",0.1,4,20,3,8.7
"574",0.1,4,20,4,9.9
"575",0.1,4,20,5,8.6
"576",0.1,4,20,6,9.9
"577",0.1,4,20,7,10
"578",0.1,4,20,8,7.6
"579",0.1,4,20,9,7.5
"580",0.1,4,20,10,8.5
"581",0.1,4,20,11,8.5
"582",0.1,4,20,12,7.7
"583",0.1,4,20,13,9
"584",0.1,4,20,14,8
"585",0.1,4,20,15,9.2
"586",0.1,4,20,16,7.5
"587",0.1,4,20,17,7.5
"588",0.1,4,20,18,7.5
"589",0.1,4,20,19,9
"590",0.1,4,20,20,9
"591",0.1,4,20,21,8.1
"592",0.1,4,20,22,8.1
"593",0.1,4,20,23,8.3
"594",0.1,4,20,24,8.9
"595",0.1,4,20,25,10.4
"596",0.1,4,20,26,7.7
"597",0.1,4,20,27,7.7
"598",0.1,4,20,28,8.1
"599",0.1,4,20,29,9.5
"600",0.1,4,20,30,7.5
"601",0.1,4,21,1,8.4
"602",0.1,4,21,2,5.9
"603",0.1,4,21,3,12.7
"604",0.1,4,21,4,7.7
"605",0.1,4,21,5,8.6
"606",0.1,4,21,6,8.3
"607",0.1,4,21,7,6.7
"608",0.1,4,21,8,8.5
"609",0.1,4,21,9,7.4
"610",0.1,4,21,10,8.1
"611",0.1,4,21,11,8.9
"612",0.1,4,21,12,8.4
"613",0.1,4,21,13,9.2
"614",0.1,4,21,14,6.9
"615",0.1,4,21,15,7.8
"616",0.1,4,21,16,6.3
"617",0.1,4,21,17,8.3
"618",0.1,4,21,18,10.5
"619",0.1,4,21,19,5.9
"620",0.1,4,21,20,9.4
"621",0.1,4,21,21,8.4
"622",0.1,4,21,22,11
"623",0.1,4,21,23,10.5
"624",0.1,4,21,24,7.8
"625",0.1,4,21,25,8.3
"626",0.1,4,21,26,8.9
"627",0.1,4,21,27,6.3
"628",0.1,4,21,28,9.2
"629",0.1,4,21,29,8.4
"630",0.1,4,21,30,12.8
"631",0.1,4,22,1,8.2
"632",0.1,4,22,2,9.2
"633",0.1,4,22,3,9.2
"634",0.1,4,22,4,10.9
"635",0.1,4,22,5,10.6
"636",0.1,4,22,6,9.3
"637",0.1,4,22,7,10.2
"638",0.1,4,22,8,10.2
"639",0.1,4,22,9,10.2
"640",0.1,4,22,10,10.2
"641",0.1,4,22,11,10
"642",0.1,4,22,12,10.2
"643",0.1,4,22,13,10.2
"644",0.1,4,22,14,10.2
"645",0.1,4,22,15,10.2
"646",0.1,4,22,16,10.2
"647",0.1,4,22,17,10.2
"648",0.1,4,22,18,10.2
"649",0.1,4,22,19,10.2
"650",0.1,4,22,20,10.2
"651",0.1,4,22,21,10.2
"652",0.1,4,22,22,10.2
"653",0.1,4,22,23,10.2
"654",0.1,4,22,24,10.2
"655",0.1,4,22,25,10.2
"656",0.1,4,22,26,10.2
"657",0.1,4,22,27,10.2
"658",0.1,4,22,28,10
"659",0.1,4,22,29,10.2
"660",0.1,4,22,30,10.2
"661",0.1,4,23,1,8.7
"662",0.1,4,23,2,10
"663",0.1,4,23,3,6
"664",0.1,4,23,4,9
"665",0.1,4,23,5,6
"666",0.1,4,23,6,6
"667",0.1,4,23,7,8
"668",0.1,4,23,8,8.1
"669",0.1,4,23,9,7.9
"670",0.1,4,23,10,6
"671",0.1,4,23,11,10.2
"672",0.1,4,23,12,6
"673",0.1,4,23,13,6
"674",0.1,4,23,14,10
"675",0.1,4,23,15,5
"676",0.1,4,23,16,6.7
"677",0.1,4,23,17,7.8
"678",0.1,4,23,18,7.6
"679",0.1,4,23,19,10.3
"680",0.1,4,23,20,7.3
"681",0.1,4,23,21,7.9
"682",0.1,4,23,22,8.1
"683",0.1,4,23,23,7.9
"684",0.1,4,23,24,8.2
"685",0.1,4,23,25,8.2
"686",0.1,4,23,26,8.2
"687",0.1,4,23,27,8.5
"688",0.1,4,23,28,8.5
"689",0.1,4,23,29,8.7
"690",0.1,4,23,30,8.3
"691",0.1,4,24,1,4.8
"692",0.1,4,24,2,8.8
"693",0.1,4,24,3,10.4
"694",0.1,4,24,4,12.8
"695",0.1,4,24,5,2.8
"696",0.1,4,24,6,9.4
"697",0.1,4,24,7,9.5
"698",0.1,4,24,8,9.5
"699",0.1,4,24,9,10.7
"700",0.1,4,24,10,10.3
"701",0.1,4,24,11,10.1
"702",0.1,4,24,12,11.2
"703",0.1,4,24,13,13.4
"704",0.1,4,24,14,9.3
"705",0.1,4,24,15,9.6
"706",0.1,4,24,16,8.2
"707",0.1,4,24,17,9.4
"708",0.1,4,24,18,9.7
"709",0.1,4,24,19,8.7
"710",0.1,4,24,20,8.1
"711",0.1,4,24,21,8.6
"712",0.1,4,24,22,9.2
"713",0.1,4,24,23,12.2
"714",0.1,4,24,24,9.1
"715",0.1,4,24,25,9.9
"716",0.1,4,24,26,8.7
"717",0.1,4,24,27,9
"718",0.1,4,24,28,9.3
"719",0.1,4,24,29,9.4
"720",0.1,4,24,30,9.3
"721",0.1,5,25,1,12
"722",0.1,5,25,2,2
"723",0.1,5,25,3,7
"724",0.1,5,25,4,15
"725",0.1,5,25,5,9
"726",0.1,5,25,6,10
"727",0.1,5,25,7,11
"728",0.1,5,25,8,10
"729",0.1,5,25,9,14
"730",0.1,5,25,10,11
"731",0.1,5,25,11,10
"732",0.1,5,25,12,5
"733",0.1,5,25,13,8.5
"734",0.1,5,25,14,8.5
"735",0.1,5,25,15,8.5
"736",0.1,5,25,16,8.5
"737",0.1,5,25,17,8.5
"738",0.1,5,25,18,9
"739",0.1,5,25,19,8.5
"740",0.1,5,25,20,8.5
"741",0.1,5,25,21,8.5
"742",0.1,5,25,22,8.5
"743",0.1,5,25,23,8.5
"744",0.1,5,25,24,8.5
"745",0.1,5,25,25,8.5
"746",0.1,5,25,26,8.5
"747",0.1,5,25,27,8.5
"748",0.1,5,25,28,8.5
"749",0.1,5,25,29,8.5
"750",0.1,5,25,30,8.5
"751",0.1,5,26,1,10.1
"752",0.1,5,26,2,8.2
"753",0.1,5,26,3,12.8
"754",0.1,5,26,4,7.1
"755",0.1,5,26,5,9
"756",0.1,5,26,6,7.6
"757",0.1,5,26,7,11.1
"758",0.1,5,26,8,12.6
"759",0.1,5,26,9,9
"760",0.1,5,26,10,6
"761",0.1,5,26,11,12
"762",0.1,5,26,12,10.4
"763",0.1,5,26,13,13.6
"764",0.1,5,26,14,11.3
"765",0.1,5,26,15,8.8
"766",0.1,5,26,16,10.6
"767",0.1,5,26,17,11.6
"768",0.1,5,26,18,10.5
"769",0.1,5,26,19,12.1
"770",0.1,5,26,20,11
"771",0.1,5,26,21,10.1
"772",0.1,5,26,22,9.8
"773",0.1,5,26,23,10.2
"774",0.1,5,26,24,10.8
"775",0.1,5,26,25,10.5
"776",0.1,5,26,26,10.9
"777",0.1,5,26,27,11.6
"778",0.1,5,26,28,11.7
"779",0.1,5,26,29,9.8
"780",0.1,5,26,30,10.6
"781",0.1,5,27,1,8.5
"782",0.1,5,27,2,7
"783",0.1,5,27,3,7.7
"784",0.1,5,27,4,8.5
"785",0.1,5,27,5,7.8
"786",0.1,5,27,6,8
"787",0.1,5,27,7,9.3
"788",0.1,5,27,8,8.9
"789",0.1,5,27,9,8.5
"790",0.1,5,27,10,8.6
"791",0.1,5,27,11,8.7
"792",0.1,5,27,12,8.4
"793",0.1,5,27,13,7
"794",0.1,5,27,14,7.2
"795",0.1,5,27,15,8
"796",0.1,5,27,16,8
"797",0.1,5,27,17,7.5
"798",0.1,5,27,18,7.5
"799",0.1,5,27,19,7
"800",0.1,5,27,20,7.5
"801",0.1,5,27,21,7.7
"802",0.1,5,27,22,7.6
"803",0.1,5,27,23,7.6
"804",0.1,5,27,24,7.6
"805",0.1,5,27,25,7.4
"806",0.1,5,27,26,8
"807",0.1,5,27,27,7.5
"808",0.1,5,27,28,7.7
"809",0.1,5,27,29,7.8
"810",0.1,5,27,30,7.6
"811",0.1,5,28,1,8.6
"812",0.1,5,28,2,8.6
"813",0.1,5,28,3,8.6
"814",0.1,5,28,4,8.6
"815",0.1,5,28,5,8.7
"816",0.1,5,28,6,8.7
"817",0.1,5,28,7,8.7
"818",0.1,5,28,8,8.7
"819",0.1,5,28,9,8.7
"820",0.1,5,28,10,8.7
"821",0.1,5,28,11,8.7
"822",0.1,5,28,12,8.6
"823",0.1,5,28,13,8.6
"824",0.1,5,28,14,8.7
"825",0.1,5,28,15,8.7
"826",0.1,5,28,16,8.7
"827",0.1,5,28,17,8.6
"828",0.1,5,28,18,8.6
"829",0.1,5,28,19,8.6
"830",0.1,5,28,20,8.6
"831",0.1,5,28,21,8.7
"832",0.1,5,28,22,8.7
"833",0.1,5,28,23,8.7
"834",0.1,5,28,24,8.7
"835",0.1,5,28,25,8.7
"836",0.1,5,28,26,8.7
"837",0.1,5,28,27,8.6
"838",0.1,5,28,28,8.6
"839",0.1,5,28,29,8.6
"840",0.1,5,28,30,8.6
"841",0.1,5,29,1,6
"842",0.1,5,29,2,6
"843",0.1,5,29,3,6
"844",0.1,5,29,4,6
